GEOID,State,Year,Type,GEO display_label,Households,Poverty Households,ALICE Households,Above ALICE Households,Source: American Community Survey,County
1208125,Florida,2023,Place,"Bradley Junction CDP, Florida",283,58,140,85,5-Year,"Polk County, Florida"
1208175,Florida,2023,Place,"Branford town, Florida",283,72,118,93,5-Year,"Suwannee County, Florida"
1208300,Florida,2023,Place,"Brent CDP, Florida",7386,1681,2921,2784,5-Year,"Escambia County, Florida"
1208575,Florida,2023,Place,"Briny Breezes town, Florida",294,20,137,137,5-Year,"Palm Beach County, Florida"
1208600,Florida,2023,Place,"Bristol city, Florida",484,54,216,214,5-Year,"Liberty County, Florida"
1208650,Florida,2023,Place,"Broadview Park CDP, Florida",2570,315,1120,1135,5-Year,"Broward County, Florida"
1208700,Florida,2023,Place,"Bronson town, Florida",546,68,186,292,5-Year,"Levy County, Florida"
1208725,Florida,2023,Place,"Brooker town, Florida",106,7,27,72,5-Year,"Bradford County, Florida"
1208762,Florida,2023,Place,"Brookridge CDP, Florida",2385,158,1278,949,5-Year,"Hernando County, Florida"
1208800,Florida,2023,Place,"Brooksville city, Florida",4305,902,1928,1475,5-Year,"Hernando County, Florida"
1208925,Florida,2023,Place,"Brownsdale CDP, Florida",121,0,40,81,5-Year,"Santa Rosa County, Florida"
1209000,Florida,2023,Place,"Brownsville CDP, Florida",6443,1892,3518,1033,5-Year,"Miami-Dade County, Florida"
1209315,Florida,2023,Place,"Buckhead Ridge CDP, Florida",484,108,209,167,5-Year,"Glades County, Florida"
1209350,Florida,2023,Place,"Buckingham CDP, Florida",1893,190,451,1252,5-Year,"Lee County, Florida"
1209415,Florida,2023,Place,"Buenaventura Lakes CDP, Florida",9795,1205,4214,4376,5-Year,"Osceola County, Florida"
1209550,Florida,2023,Place,"Bunnell city, Florida",1476,255,753,468,5-Year,"Flagler County, Florida"
1209612,Florida,2023,Place,"Burnt Store Marina CDP, Florida",1206,110,231,865,5-Year,"Lee County, Florida"
1209625,Florida,2023,Place,"Bushnell city, Florida",1186,161,596,429,5-Year,"Sumter County, Florida"
1209630,Florida,2023,Place,"Butler Beach CDP, Florida",2581,269,859,1453,5-Year,"St. Johns County, Florida"
1209655,Florida,2023,Place,"Cabana Colony CDP, Florida",845,0,344,501,5-Year,"Palm Beach County, Florida"
1209700,Florida,2023,Place,"Callahan town, Florida",647,107,260,280,5-Year,"Nassau County, Florida"
1209725,Florida,2023,Place,"Callaway city, Florida",5479,578,1753,3148,5-Year,"Bay County, Florida"
1209875,Florida,2023,Place,"Campbell CDP, Florida",1172,331,599,242,5-Year,"Osceola County, Florida"
1210250,Florida,2023,Place,"Cape Canaveral city, Florida",5907,569,2271,3067,5-Year,"Brevard County, Florida"
1210350,Florida,2023,Place,"Capitola CDP, Florida",155,26,90,39,5-Year,"Leon County, Florida"
